,"[3,13,1]","[3,5,1]","[3,5,3,1]","[3,5,5,1]","[3,7,5,5,1]","[3,8,1]"
light_mass,2.243754365193626,2.1127340628861457,11.293596249982246,3.446143504272539,90.0,2.6029112787534228
medium_mass,23.021408735786316,83.54421169762504,90.0,5.673160517949027,5.273559366969495e-13,37.561825796496144
heavy_mass,90.0,90.0,60.63478904849756,25.936841405085065,1.457167719820518e-11,27.398383673418376
underdamped,80.0,8.520961713998076e-12,8.520961713998076e-12,8.520961713998076e-12,8.520961713998076e-12,29.00033270584715
critically_damped,99.77628635346755,55.7567040634532,42.18586371066924,99.77628635346755,186.77524828086968,96.1645088094494
overdamped,99.9,98.6093639123889,97.83533627229048,94.56332275556122,80.95895955802682,99.12652574055862
soft_spring,22.232471301701807,11.140502318518152,16.98211609697056,19.03182660967928,80.21554937977817,18.806080141187483
medium_spring,6.424947817960796,7.658034988959423,13.88912407952754,12.972330279409611,90.0,3.490213338736961
stiff_spring,11.32199674472116,19.15377265601005,4.951793787053904,80.12577285659012,78.23368770637867,10.24090755217734
low_freq,1.586696622618955,1.028586359877584,1.98602065064582,4.775031014770711,17.069544544890597,0.880056083768177
resonance_freq,1.7397135610293937,2.2166340477400985,1.4168472733213089,5.234953833288744,90.0,0.998789270753836
high_freq,28.252278960970795,31.1799031370246,82.6289657478952,1.6323486250627297,5.273559366969495e-13,38.34915471656265
small_amplitude,12.655117705944102,8.911657220949138,21.032900981731093,7.498187835106973,135.30215426593395,18.868162886641283
large_amplitude,10.500742346184866,5.89381742566901,23.35142246203761,6.091123772270585,5.273559366969495e-13,18.937753634666542
no_noise,12.671927649289454,8.911657220947902,12.932623448813102,11.590595040713524,5.273559366969495e-13,22.02083108857
medium_noise,12.671927649289454,8.911657220947902,12.932623448813102,30.634814093952144,5.273559366969495e-13,22.02083108857
extreme_noise,4.412638709997016,5.1011903862891455,25.32919132319683,30.634814093952144,5.273559366969495e-13,18.802923799375108
large_initial_displacement,1.0130785099704552e-11,1.0130785099704552e-11,1.0130785099704552e-11,82.0542330492952,1.0130785099704552e-11,1.0130785099704552e-11
large_initial_velocity,1.2490009027033013e-12,90.0,1.2490009027033013e-12,1.2490009027033013e-12,1.2490009027033013e-12,1.2490009027033013e-12
random_high_amplitude,3.6082248300317593e-13,90.0,90.0,3.6082248300317593e-13,3.6082248300317593e-13,90.0
fine_time_step,22.220661863424294,2.9805999760613293,13.640634349456866,5.31508478806364,24.97708638577884,19.36018025195124
coarse_time_step,5.923270948231668,19.500692418752628,0.5685590847626099,7.747599815125225,23.58309375753784,11.508304369949444
very_long_duration,90.0,3.6082248300317593e-13,3.6082248300317593e-13,82.38981245773219,3.6082248300317593e-13,14.36374144990467
