,m_error,c_error,k_error,avg_error
"[3,5,3,1]",86.10631235984555,27.112713391986315,9.287588987945462,40.83553824659244
"[3,8,1]",80.8850539889221,26.108800768580394,18.88009145454493,41.957982070682476
"[3,5,5,1]",76.61477634871086,26.83149055223297,30.883422540258895,44.77656314706758
"[3,7,5,5,1]",76.94140950104789,39.00501408170578,37.9821332551019,51.30951894595186
"[3,13,1]",73.82892975354653,27.719819188514045,53.465870272418336,51.67153973815963
"[3,5,1]",71.2668452577072,27.939639961483444,60.95853332903352,53.38833951607472
