architecture,avg_rank,first_place_count
"[3,8,1]",1.565217391304348,17
"[3,5,5,1]",1.7391304347826086,16
"[3,5,3,1]",1.9130434782608696,18
"[3,13,1]",2.0869565217391304,17
"[3,5,1]",2.3043478260869565,14
"[3,7,5,5,1]",2.4782608695652173,18
