architecture,avg_rank,first_place_count
"[3,13,1]",2.217391304347826,8
"[3,5,5,1]",2.347826086956522,6
"[3,5,1]",2.4347826086956523,5
"[3,8,1]",3.0,9
"[3,5,3,1]",3.5217391304347827,9
"[3,7,5,5,1]",3.652173913043478,6
