,"[3,13,1]","[3,5,1]","[3,5,3,1]","[3,5,5,1]","[3,7,5,5,1]","[3,8,1]"
light_mass,69.16042143352769,68.78952734157063,32.79241248566877,67.16922100252127,96.72188977393718,69.48436998509455
medium_mass,40.843729321799294,61.1147372325417,63.188853677107,34.835838955197566,66.53333333333352,45.73621832727944
heavy_mass,63.22475080017324,63.264028330215716,53.32424246924713,41.798719584408474,33.31666666667152,42.4466024576691
underdamped,57.29702406722535,9.919935446893156,62.79163594916515,2.8462417607973598e-12,33.76725824408969,42.66677756861572
critically_damped,66.25876211782528,51.585568021153826,47.06195457022585,66.25876211782528,95.258416093626,65.05483626981923
overdamped,66.30000000001621,65.86978797081251,65.61177875744637,64.52110758520328,49.26544058194159,66.04217524686909
soft_spring,40.41082376723395,36.713500772839396,38.66070536565687,39.34394220322644,59.738516459926075,39.26869338039584
medium_spring,71.02328766199695,31.622352853620757,33.83044583615405,33.48403329850054,69.05627239186005,69.99256663581995
stiff_spring,35.36105227742652,38.6040107677178,34.27644150914048,54.88244239139626,41.3629296274215,22.42475394262192
low_freq,12.498226965287627,20.356637286628843,12.34754372730194,13.181465478032337,17.24780432255863,12.223385400254761
resonance_freq,11.910723598917185,12.30922366719038,19.46562886248529,12.583302425572745,36.38771599128349,11.60939038017441
high_freq,42.41742632032361,43.39330104567488,60.54298858263174,33.54411620835425,33.00000000000018,45.78305157218756
small_amplitude,35.48992773776123,34.30965061210471,39.21055097130928,33.384521163556634,77.07843725315627,37.838182920559525
large_amplitude,34.67318332408659,135.7536782208307,39.99129886108459,32.95440970164574,66.61355699974796,37.893765785738914
no_noise,35.424511254476315,34.3096506121043,36.430696539266485,35.389001416692054,66.76887679676791,38.96759850705157
medium_noise,35.424511254476315,34.3096506121043,36.430696539266485,41.479509369911305,73.85258385320232,38.96759850705157
extreme_noise,135.6212825949173,135.69230325537598,40.20325528479869,41.479509369911305,73.85258385320232,38.043750020208414
large_initial_displacement,24.219260304311746,30.930656521225334,35.133050321982886,93.052080681839,4.735337877562572,33.0000000000034
large_initial_velocity,33.00000000000221,52.94538972637172,23.79174067100629,33.00000000000221,20.314989227472697,33.00000000000221
random_high_amplitude,33.000000000000206,63.000000000000085,63.000000000000085,33.000000000000206,23.013315945642102,63.000000000000085
fine_time_step,38.63159331543147,132.31934468707573,36.480325941521265,129.13315612531332,40.38898849787317,38.26909300244609
coarse_time_step,143.25491586045533,37.818873885666115,31.651132749159277,34.922542484197216,68.84402196561587,35.53286389919862
very_long_duration,63.00000000000001,33.000000000000135,33.000000000000135,60.46327081924408,33.000000000000135,37.787913816634905
