epoch,total_loss,data_loss,physics_loss
113,369739.19140625,369736.4375,2.728034019470215
114,451765.255859375,451762.14453125,3.086763769388199
115,575171.095703125,575164.71875,6.3581728637218475
116,1009190.345703125,1009183.6484375,6.693670749664307
117,1331270.2578125,1331258.9375,11.31374704837799
118,1221025.6640625,1221016.0546875,9.594978541135788
119,883618.6015625,883611.9375,6.652418792247772
120,1105572.84765625,1105544.83203125,27.99686074256897
121,536906.8359375,536902.91015625,3.905825227499008
122,1048393.44140625,1048386.30859375,7.120816767215729
123,513496.34765625,513492.873046875,3.4584094434976578
124,381892.232421875,381885.828125,6.386154919862747
125,220328.615234375,220327.337890625,1.2633721381425858
126,159220.04931640625,159219.1201171875,0.9075616523623466
127,106530.30932617188,106529.556640625,0.7338959351181984
128,115046.59814453125,115045.048828125,1.5279109999537468
129,56378.107666015625,56377.666748046875,0.4191390872001648
130,27532.528442382812,27532.329345703125,0.17849837057292461
131,26933.22979736328,26933.010131835938,0.19852697430178523
132,23043.854125976562,23043.32177734375,0.5111922267824411
133,47089.81237792969,47089.50354003906,0.2882683891803026
134,17563.55010986328,17563.429321289062,0.0994792222045362
135,12746.9423828125,12746.842651367188,0.07826309325173497
136,6207.217346191406,6207.137237548828,0.058897536247968674
137,5255.564727783203,5255.515396118164,0.028435837128199637
138,1672.6162567138672,1670.9451293945312,1.6501077215943951
139,4627.581115722656,4627.530975341797,0.02915333374403417
140,2333.519775390625,2333.4647827148438,0.034232224454171956
141,3020.548538208008,3020.4518127441406,0.07594543264713138
142,2355.5239334106445,2355.4906616210938,0.012757176358718425
143,940.2135276794434,940.0700855255127,0.12302349231322296
144,676.086841583252,676.0615386962891,0.005116432090289891
145,584.0897254943848,584.0568237304688,0.013027630309807137
146,397.3907833099365,397.34984588623047,0.021456231217598543
147,179.16543579101562,179.01617240905762,0.13025312840181869
148,92.65762662887573,92.40367794036865,0.23553077715041582
149,89.40904712677002,89.38680934906006,0.004505698481807485
150,89.0605981349945,89.03590703010559,0.007690458354773
151,75.35922718048096,75.33588171005249,0.00710406071448233
152,48.75072479248047,48.7328314781189,0.002441122334857937
153,29.599339246749878,29.434183835983276,0.1505403059818491
154,34.5398690700531,34.51845955848694,0.007365722027316224
155,30.184826612472534,30.146180391311646,0.025290990095527377
156,23.88184428215027,23.352407932281494,0.5167697210454207
157,29.575389862060547,25.132939100265503,4.430473335545685
158,15.04081416130066,14.608314990997314,0.42121441052586306
159,19.077569007873535,19.06079614162445,0.006210717827343615
160,16.37177264690399,16.356287002563477,0.005628873688692693
161,16.46484661102295,16.449005722999573,0.006682988510874566
162,17.421672105789185,17.40667688846588,0.006403629846317926
163,14.839846730232239,14.81729257106781,0.014158359419525368
164,9.926080703735352,9.905027866363525,0.013054135479251272
