epoch,total_loss,data_loss,physics_loss
0,27864897952.0,27864231200.0,666178.0478515625
1,7597436912.0,7597286576.0,150422.13671875
2,8766888608.0,8766707304.0,181377.0546875
3,3774530520.0,3774459092.0,71396.50341796875
4,2536344184.0,2536284832.0,59353.9228515625
5,2897341040.0,2897272152.0,68893.51123046875
6,1296569710.0,1296537246.0,32450.2744140625
7,1257563150.0,1257537268.0,25877.882202148438
8,599532060.0,599519796.0,12273.035522460938
9,446896558.0,446886536.0,10022.888977050781
10,465779814.0,465768694.0,11112.758056640625
11,397547243.0,397537388.0,9848.086120605469
12,491350492.5,491340758.5,9729.901733398438
13,271530172.0,271524237.0,5937.17724609375
14,492045169.0,492034485.0,10692.475006103516
15,251747143.5,251742984.0,4159.102630615234
16,119588018.5,119585684.0,2334.8045806884766
17,189188112.0,189183131.5,4980.321197509766
18,198386403.5,198381775.5,4628.757995605469
19,170992488.5,170988265.5,4223.855651855469
20,95723790.5,95721786.5,2003.649887084961
21,166252114.0,166248781.25,3335.7229919433594
22,114701155.5,114698660.5,2496.2843627929688
23,81020031.25,81018366.75,1664.6716690063477
24,111342795.0,111340418.0,2376.3536071777344
25,108536419.5,108533455.0,2963.2266235351562
26,218392369.5,218388115.5,4253.9534912109375
27,124411190.25,124408000.75,3190.052703857422
28,97235869.25,97234203.75,1664.9752883911133
29,83218735.5,83217122.5,1613.5703887939453
30,122712170.5,122709805.5,2367.2753143310547
31,175867010.5,175862732.0,4280.601654052734
32,143961202.5,143957935.0,3266.5365600585938
33,104685205.0,104683093.5,2111.332778930664
34,93605464.0,93603564.0,1901.1348724365234
35,41806971.875,41806003.625,968.6685180664062
36,79835122.0,79833713.0,1409.1398315429688
37,79100420.25,79098533.25,1886.4376373291016
38,104643539.25,104641027.25,2510.8173828125
39,79652868.25,79651250.5,1619.5706405639648
40,63320458.5,63318941.0,1517.9025421142578
41,92415219.875,92413600.125,1619.997055053711
42,109419170.5,109417238.25,1932.4813842773438
43,84945195.5625,84943665.8125,1529.6364650726318
44,46581880.125,46580853.375,1026.7019653320312
45,30272757.0,30272104.25,653.0903129577637
46,10955612.5,10955368.21875,244.17959880828857
47,9047511.0625,9047328.75,182.49811363220215
48,12604179.3125,12603903.125,276.25340938568115
49,11394180.78125,11393943.09375,237.62234115600586
50,26545576.375,26544893.75,682.3649349212646
51,49433383.375,49432399.75,983.4949264526367
52,27870629.125,27869999.0,629.8769855499268
53,19017665.8125,19017308.625,357.30649757385254
54,15071745.84375,15071483.40625,262.3535614013672
55,21767209.0,21766690.5,518.8828105926514
56,48949231.875,48948308.625,922.8238563537598
57,108523638.0,108521192.0,2446.2122497558594
58,100091394.75,100088949.25,2445.548553466797
59,56086223.0,56084346.375,1875.6052474975586
60,154840249.0,154837639.25,2609.0754776000977
61,66855758.75,66854503.625,1254.760799407959
62,18794469.5,18794108.125,361.52086639404297
63,17162346.125,17162021.0,325.20501708984375
64,16645053.9375,16644755.5,298.65172386169434
65,27324321.3125,27323714.6875,606.6077156066895
66,40520523.875,40519808.0,714.6467761993408
67,14505345.5,14505078.625,267.05291271209717
68,11425908.65625,11425693.5625,214.82814168930054
69,5866488.25,5866384.1875,104.15014982223511
70,7631357.71875,7631226.46875,131.18399047851562
71,2646359.703125,2646315.390625,44.300336599349976
72,2761752.8515625,2761697.953125,54.853113651275635
73,7256051.0,7255699.3125,351.5716905593872
74,16795341.9375,16795032.625,309.23744010925293
75,15466160.09375,15465713.078125,447.07196712493896
76,23825236.5,23824599.25,636.6548156738281
77,20315669.5,20315358.625,310.99741554260254
78,9590113.78125,9589917.09375,196.6843876838684
79,10824636.40625,10824429.1875,207.24567985534668
80,15832107.875,15831864.421875,243.7661361694336
81,19457295.0625,19456947.3125,347.5951290130615
82,11657936.6875,11657738.75,197.91602420806885
83,14568488.25,14568245.25,242.8932590484619
84,20647702.5,20647320.125,382.3030586242676
85,18421049.4375,18420709.3125,339.88547229766846
86,9961760.34375,9961557.71875,202.432635307312
87,7024643.5625,7024508.5625,135.08302211761475
88,8732887.625,8732741.6875,145.91063404083252
89,7004357.0,7004240.8125,116.21690797805786
90,9764061.28125,9763911.15625,150.02235794067383
91,4565027.625,4564938.40625,89.17669105529785
92,6237013.1875,6236921.34375,91.86721467971802
93,4852223.71875,4852096.6171875,127.08067965507507
94,3032500.78125,3032453.453125,47.327064514160156
95,4653321.421875,4653255.0625,66.32620596885681
96,5417845.75,5417747.5,98.15956926345825
97,2083002.24609375,2082964.2109375,38.02244210243225
98,4192157.23828125,4192092.25390625,65.0195050239563
99,7539928.71875,7539829.5,98.99851560592651
100,2790819.7265625,2790773.8203125,45.942530393600464
101,1532524.5703125,1532497.5625,26.994115829467773
102,1169716.078125,1169697.640625,18.45016849040985
103,893929.51171875,893916.59765625,12.910059690475464
104,596162.83203125,596154.22265625,8.580033659934998
105,406659.5390625,406652.5234375,6.9851309061050415
106,311908.294921875,311902.3984375,5.862309038639069
107,647158.3203125,647148.078125,10.23255056142807
108,609623.197265625,609614.294921875,8.882758855819702
109,321301.8203125,321296.40625,5.389781147241592
110,367733.8720703125,367727.9970703125,5.848906636238098
111,546541.20703125,546531.50390625,9.684388041496277
112,801738.5234375,801726.8515625,11.643798768520355
113,635213.08203125,635204.5810546875,8.494572401046753
114,508938.2265625,508930.68359375,7.5259080827236176
115,705457.490234375,705446.83203125,10.644626751542091
116,290042.328125,290037.484375,4.805549055337906
117,184016.68701171875,184013.70458984375,2.9534098356962204
118,98317.8720703125,98310.93310546875,6.908281601965427
119,54682.8046875,54681.267822265625,1.5054382383823395
120,59578.921630859375,59578.021728515625,0.8695482909679413
121,68563.986328125,68563.0439453125,0.91170210018754
122,21847.025634765625,21846.671264648438,0.3243449181318283
123,22264.871826171875,22264.55694580078,0.28546328470110893
124,18744.54345703125,18744.27459716797,0.23960048705339432
125,24367.513671875,24367.190307617188,0.2943367436528206
126,17041.193420410156,17040.8271484375,0.3367847455665469
127,16745.793029785156,16745.516067504883,0.24851088132709265
128,12049.823822021484,12049.606262207031,0.18833530880510807
129,4266.426696777344,4266.287780761719,0.10960119124501944
130,3818.8245697021484,3818.6654357910156,0.1297952588647604
131,2928.6102447509766,2928.336700439453,0.24427848029881716
132,2099.814727783203,2099.671630859375,0.1140369561035186
133,1282.4970245361328,1282.3185501098633,0.14943221386056393
134,1283.3237705230713,1283.1759071350098,0.11897899169707671
135,776.5557327270508,776.5121383666992,0.014838304836302996
136,806.9206199645996,806.8713645935059,0.020698932581581175
137,865.718879699707,865.6786880493164,0.011864030617289245
138,607.2477130889893,606.467357635498,0.7522519527701661
139,872.8014984130859,872.7582931518555,0.015361692290753126
140,999.0913314819336,999.045654296875,0.01810846454463899
141,900.503288269043,900.4581747055054,0.01779675524448976
142,499.3480100631714,499.3114757537842,0.009514516044873744
143,299.5645637512207,299.5241355895996,0.01376120705390349
144,469.03106689453125,468.9850311279297,0.019736757327336818
145,247.33223915100098,247.25413703918457,0.052218916825950146
146,368.7641181945801,368.7318916320801,0.006780439638532698
147,377.9323444366455,377.890700340271,0.01664007466752082
148,167.31517124176025,167.2715344429016,0.019149395331623964
149,57.766751766204834,57.73120164871216,0.011675887515593786
150,26.624983072280884,26.531254529953003,0.07064782836823724
151,27.461223125457764,27.37311863899231,0.06555313517674222
152,17.515060544013977,17.490408182144165,0.0024562691542087123
153,12.925891280174255,12.899085760116577,0.00501441373853595
154,13.034735202789307,12.979265987873077,0.034107607087207725
155,19.458353996276855,19.42726504802704,0.01007621309690876
156,16.412254333496094,16.344122767448425,0.047451995484152576
157,12.89216685295105,12.835962414741516,0.0358531594138185
158,14.92314612865448,14.901443719863892,0.0016912990759010427
159,10.914116382598877,10.885504841804504,0.00892968424159335
160,10.006511211395264,9.969068169593811,0.018111028706698562
161,10.327712059020996,9.844075560569763,0.4646839345659828
162,8.619163930416107,8.570512354373932,0.030059180047828704
163,8.58323472738266,8.564318358898163,0.0007022160534688737
164,9.534346163272858,9.503099739551544,0.01341204567142995
165,8.554055094718933,8.53503692150116,0.0015541163775196765
166,8.744629859924316,8.448756575584412,0.2787534254784987
167,8.087678730487823,8.065223634243011,0.005678658286342397
168,8.196899712085724,7.900233566761017,0.28029318016342586
169,8.040116786956787,7.953763663768768,0.07039346219971776
170,9.539269864559174,7.9607884883880615,1.5629203700445942
171,7.978293478488922,7.946984052658081,0.01614728079221095
172,8.08264970779419,8.053686380386353,0.014187174536345992
173,7.993848741054535,7.977736473083496,0.001696338935289532
174,7.995094060897827,7.973509430885315,0.007535117969382554
175,9.21577525138855,7.96545273065567,1.2366411612274533
176,8.00683480501175,7.991898000240326,0.001621254690689966
177,8.029589116573334,7.924144804477692,0.09248964545622584
178,8.164896607398987,7.869660317897797,0.28264755728378077
179,7.90986305475235,7.874866306781769,0.022776550464186585
180,7.837091088294983,7.816269934177399,0.008953702872531721
181,7.877143085002899,7.853662312030792,0.011957174770941492
182,8.674655497074127,7.920771598815918,0.7427147577109281
183,7.945652902126312,7.884815812110901,0.049999914057480055
184,8.56222265958786,7.832573354244232,0.7191153507828858
185,8.095246493816376,7.91827118396759,0.16675838305673096
186,8.36758404970169,7.861958026885986,0.49569303192402003
187,7.885022580623627,7.872163414955139,0.0032254038997052703
188,7.799691557884216,7.788883149623871,0.0014751675953448284
189,8.051047325134277,7.7689685225486755,0.27305433981018723
190,7.78703373670578,7.759436190128326,0.018871668569772737
191,7.704292953014374,7.6661155223846436,0.029737233817286324
192,7.7480775117874146,7.683216154575348,0.056682721740799025
193,7.720797896385193,7.704180121421814,0.008702617984454264
194,7.658976852893829,7.646807014942169,0.0045097713846189436
195,8.93906956911087,7.668786883354187,1.262864681386418
196,7.833081841468811,7.623022675514221,0.20289338831207715
197,7.765497267246246,7.592744588851929,0.16582659620326012
198,7.733859896659851,7.715213179588318,0.011973343309364282
199,7.726833462715149,7.716795861721039,0.0036223212264303584
200,7.646207332611084,7.6370333433151245,0.0030007993500476005
201,7.6866201758384705,7.642063617706299,0.03863302923309675
202,7.8764379024505615,7.6288867592811584,0.24186701053622528
203,7.606561005115509,7.598491907119751,0.0026221914813504554
204,7.613422334194183,7.5995442271232605,0.00866420488091535
205,7.695760369300842,7.59281051158905,0.09796684172033565
206,7.679782032966614,7.588876664638519,0.0861682032009412
207,8.005852699279785,7.535539448261261,0.46581986336241243
208,7.636252403259277,7.627689301967621,0.004308250092435628
209,8.449402511119843,8.014522135257721,0.430863776953629
210,7.655479848384857,7.647870659828186,0.0038182251519174315
211,7.619167923927307,7.607854545116425,0.007756565813906491
212,7.706078827381134,7.625984728336334,0.07679800825462735
213,8.694274187088013,7.612208545207977,1.079017657739314
214,7.771540462970734,7.580344200134277,0.18837685729158693
215,7.585038781166077,7.571313321590424,0.011148050947667798
216,9.312209606170654,7.6259989738464355,1.6838704315887298
217,8.298202395439148,7.529696106910706,0.7663831651443616
218,9.697039783000946,7.588883280754089,2.1062428328914393
219,8.467059195041656,7.588893353939056,0.8764479535420833
220,7.579002201557159,7.554075002670288,0.023398266293952474
221,7.567205011844635,7.564861178398132,0.0010192405170528218
222,7.565491795539856,7.475502073764801,0.08887197351396026
223,10.274016678333282,7.508207678794861,2.7649015833412705
224,7.547884166240692,7.534884989261627,0.012282922092708759
225,8.722550630569458,7.53351491689682,1.1885130276168638
226,7.838815867900848,7.407832503318787,0.43065280770861136
227,7.721661806106567,7.497095882892609,0.22442436844903568
228,7.419450581073761,7.400682687759399,0.01870206981038791
229,7.495190739631653,7.479735970497131,0.015323409148550127
230,7.470491647720337,7.466771364212036,0.003629934730270179
231,7.526911795139313,7.5254955887794495,0.0013813020741508808
