config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250430_114056,0.5,0.1,5.0,0.37068151587260006,0.09684025651729616,13.941625931874539,25.863696825479987,3.159743482703842,178.83251863749078,0.0009995713037258935,66.134264
medium_mass,20250430_114203,5.0,0.1,5.0,0.01,0.01,4.999999999999997,99.8,90.0,5.3290705182007514e-14,0.003117847134230946,63.705595
heavy_mass,20250430_114306,20.0,0.1,5.0,0.01,0.037428833432377163,5.0,99.94999999999999,62.571166567622846,0.0,0.0016698081234900305,64.420368
underdamped,20250430_114411,1.0,0.05,5.0,0.01,0.01,4.999999999999999,99.0,80.0,1.7763568394002505e-14,1.8592952100318778,65.491271
critically_damped,20250430_114516,1.0,4.47,5.0,0.01,0.12170609919784539,4.999999999999585,99.0,97.27726847432113,8.29558643999917e-12,59.72595500533877,65.745049
overdamped,20250430_114622,1.0,10.0,5.0,0.01,0.2119727573693108,4.999999999997568,99.0,97.88027242630687,4.863665026277886e-11,114.85438597828863,62.51355
soft_spring,20250430_114724,1.0,0.1,1.0,0.01,0.07942726909780108,1.0000000000000004,99.0,20.572730902198924,4.440892098500626e-14,0.0033570129738151036,66.391565
medium_spring,20250430_114831,1.0,0.1,10.0,0.12503844285494256,0.09021271603860179,10.0,87.49615571450575,9.787283961398218,0.0,0.0015499802688370551,63.715948
stiff_spring,20250430_114935,1.0,0.1,50.0,0.7020078746758982,0.09026917193778747,80.71254554324157,29.79921253241018,9.730828062212538,61.42509108648315,0.006345090037616405,66.96982
low_freq,20250430_115042,1.0,0.1,5.0,1.2194094196099683,0.09845730759620319,4.324081519407225,21.94094196099683,1.5426924037968137,13.518369611855494,0.000593880745511727,66.822635
resonance_freq,20250430_115148,1.0,0.1,5.0,0.8623207105815459,0.09807560793865289,5.978866206012706,13.767928941845408,1.9243920613471188,19.57732412025411,0.0013450745333665349,64.036585
high_freq,20250430_115252,1.0,0.1,5.0,0.01,0.01,5.000000000000001,99.0,90.0,1.7763568394002505e-14,0.007472450546538405,67.066238
small_amplitude,20250430_115400,1.0,0.1,5.0,0.03755320197016583,0.07282002664254975,4.999999999999998,96.24467980298341,27.179973357450258,3.552713678800501e-14,0.0004943004813117259,62.705022
large_amplitude,20250430_115502,1.0,0.1,5.0,0.03728294648685987,0.07416428125570497,5.000000000000002,96.27170535131401,25.835718744295033,3.552713678800501e-14,0.04731242471175607,65.768009
no_noise,20250430_115608,1.0,0.1,5.0,0.04240551296008072,0.07379875525611848,4.999999999999998,95.75944870399192,26.201244743881524,3.552713678800501e-14,0.004756843957904075,63.276428
medium_noise,20250430_115711,1.0,0.1,5.0,0.04240551296008072,0.07379875525611848,4.999999999999998,95.75944870399192,26.201244743881524,3.552713678800501e-14,0.004756843957904075,63.567099
extreme_noise,20250430_115815,1.0,0.1,5.0,0.03755320197016592,0.07282002664255044,4.999999999999998,96.24467980298341,27.179973357449565,3.552713678800501e-14,0.004943006131061931,62.487563
large_initial_displacement,20250430_115917,1.0,0.1,5.0,0.3184055747520491,0.09999999999998987,5.0000000000000036,68.15944252479508,1.0130785099704553e-11,7.105427357601002e-14,35.139338636374966,65.666526
large_initial_velocity,20250430_120023,1.0,0.1,5.0,0.20913354371243614,0.12571384841836808,5.000000000000269,79.08664562875639,25.713848418368073,5.382361223382759e-12,8.34044182995259,63.644071
random_high_amplitude,20250430_120127,1.0,0.1,5.0,0.01,0.01,5.000000000000012,99.0,90.0,2.4868995751603507e-13,15.54686975401208,64.503767
fine_time_step,20250430_120231,1.0,0.1,5.0,0.048451554302296924,0.06906009466855625,5.000000000000002,95.1548445697703,30.93990533144375,3.552713678800501e-14,0.0012288615804294505,65.338333
coarse_time_step,20250430_120337,1.0,0.1,5.0,0.025318470653303015,0.07329721938230015,4.999999999999998,97.46815293466969,26.702780617699855,3.552713678800501e-14,0.013548343283073421,65.299468
very_long_duration,20250430_120442,1.0,0.1,5.0,0.011051872270311248,0.01,4.999999999999998,98.89481277296888,90.0,3.552713678800501e-14,0.16571306274273287,61.334764
