epoch,total_loss,data_loss,physics_loss,mass,damping,stiffness
0,0.11817073822021484,0.11817073822021484,0.0,1.000100016593933,0.09989999979734421,4.999899864196777
1,1.497378945350647,1.497378945350647,0.0,1.0001813173294067,0.09982366114854813,4.999820709228516
2,0.16739624738693237,0.16739624738693237,0.0,1.0002509355545044,0.09975995868444443,4.999753475189209
3,0.19897107779979706,0.19897107779979706,0.0,1.0003159046173096,0.09970162063837051,4.999691486358643
4,0.5991717576980591,0.5991717576980591,0.0,1.0003875494003296,0.09963580965995789,4.999622821807861
5,0.4602315425872803,0.4602315425872803,0.0,1.0004616975784302,0.09956757724285126,4.999551773071289
6,0.15062302350997925,0.15062302350997925,0.0,1.0005309581756592,0.09950484335422516,4.999485492706299
7,0.014167474582791328,0.014167474582791328,0.0,1.0005921125411987,0.09944954514503479,4.999427318572998
8,0.08472064137458801,0.08472064137458801,0.0,1.0006476640701294,0.09939691424369812,4.999373435974121
9,0.2008877694606781,0.2008877694606781,0.0,1.0007010698318481,0.09934248775243759,4.9993205070495605
10,0.22289389371871948,0.22289389371871948,0.0,1.0007532835006714,0.09928587824106216,4.999267578125
11,0.1530836820602417,0.1530836820602417,0.0,1.000802993774414,0.09922953695058823,4.999216079711914
12,0.06513693183660507,0.06513693183660507,0.0,1.000848650932312,0.09917645156383514,4.999168395996094
13,0.016853775829076767,0.016853775829076767,0.0,1.0008898973464966,0.09912823140621185,4.999125003814697
14,0.020895903930068016,0.020895903930068016,0.0,1.000927448272705,0.09908454120159149,4.999085426330566
15,0.0551314614713192,0.0551314614713192,0.0,1.000962734222412,0.09904392808675766,4.999048233032227
16,0.08651503175497055,0.08651503175497055,0.0,1.0009969472885132,0.0990050658583641,4.999012470245361
17,0.0935739055275917,0.0935739055275917,0.0,1.0010303258895874,0.09896745532751083,4.9989776611328125
18,0.07573232799768448,0.07573232799768448,0.0,1.0010625123977661,0.0989314541220665,4.998944282531738
19,0.04685812070965767,0.04685812070965767,0.0,1.0010926723480225,0.09889776259660721,4.998912811279297
20,0.022901274263858795,0.022901274263858795,0.0,1.0011203289031982,0.09886690974235535,4.9988837242126465
21,0.013118159025907516,0.013118159025907516,0.0,1.0011452436447144,0.0988389179110527,4.998857498168945
22,0.0176180861890316,0.0176180861890316,0.0,1.001167893409729,0.09881332516670227,4.998833179473877
23,0.029700102284550667,0.029700102284550667,0.0,1.0011887550354004,0.09878943115472794,4.998810768127441
24,0.04056129977107048,0.04056129977107048,0.0,1.0012084245681763,0.09876661747694016,4.998789310455322
25,0.04404749348759651,0.04404749348759651,0.0,1.0012270212173462,0.09874459356069565,4.9987688064575195
26,0.03915625065565109,0.03915625065565109,0.0,1.0012446641921997,0.0987234115600586,4.998749256134033
27,0.029304655268788338,0.029304655268788338,0.0,1.0012611150741577,0.09870333969593048,4.9987311363220215
28,0.019537806510925293,0.019537806510925293,0.0,1.0012762546539307,0.09868469089269638,4.998714447021484
29,0.01373317465186119,0.01373317465186119,0.0,1.0012900829315186,0.09866765886545181,4.998699188232422
30,0.013145278207957745,0.013145278207957745,0.0,1.001302719116211,0.09865225851535797,4.998685359954834
31,0.016495103016495705,0.016495103016495705,0.0,1.001314401626587,0.09863834828138351,4.9986724853515625
32,0.021096903830766678,0.021096903830766678,0.0,1.0013254880905151,0.09862571954727173,4.998660564422607
33,0.024310801178216934,0.024310801178216934,0.0,1.0013360977172852,0.0986141711473465,4.9986491203308105
34,0.024674123153090477,0.024674123153090477,0.0,1.001346230506897,0.09860358387231827,4.998638153076172
35,0.02229798585176468,0.02229798585176468,0.0,1.0013558864593506,0.09859389066696167,4.99862813949585
36,0.018493788316845894,0.018493788316845894,0.0,1.0013649463653564,0.09858506917953491,4.9986186027526855
37,0.01495327241718769,0.01495327241718769,0.0,1.001373291015625,0.0985770896077156,4.998610019683838
38,0.01294127106666565,0.01294127106666565,0.0,1.0013809204101562,0.09856987744569778,4.998601913452148
39,0.012842911295592785,0.012842911295592785,0.0,1.0013877153396606,0.09856332093477249,4.998594760894775
40,0.014172421768307686,0.014172421768307686,0.0,1.0013939142227173,0.09855728596448898,4.9985880851745605
41,0.015942608937621117,0.015942608937621117,0.0,1.0013995170593262,0.09855164587497711,4.998581886291504
42,0.017176004126667976,0.017176004126667976,0.0,1.0014046430587769,0.09854631870985031,4.9985761642456055
43,0.017320901155471802,0.017320901155471802,0.0,1.0014092922210693,0.0985412746667862,4.998570919036865
44,0.01641058921813965,0.01641058921813965,0.0,1.0014134645462036,0.09853653609752655,4.998565673828125
45,0.014939861372113228,0.014939861372113228,0.0,1.0014172792434692,0.09853214025497437,4.998560905456543
46,0.013563521206378937,0.013563521206378937,0.0,1.0014206171035767,0.09852811694145203,4.998556613922119
47,0.01278213132172823,0.01278213132172823,0.0,1.0014235973358154,0.09852448105812073,4.9985527992248535
48,0.01275351271033287,0.01275351271033287,0.0,1.0014262199401855,0.09852121770381927,4.998548984527588
49,0.013286462053656578,0.013286462053656578,0.0,1.001428484916687,0.09851827472448349,4.9985456466674805
50,0.013985677622258663,0.013985677622258663,0.0,1.001430630683899,0.09851561486721039,4.998542785644531
51,0.014459533616900444,0.014459533616900444,0.0,1.0014325380325317,0.09851320087909698,4.998539924621582
52,0.01449067983776331,0.01449067983776331,0.0,1.001434326171875,0.09851101785898209,4.998537063598633
53,0.014101168140769005,0.014101168140769005,0.0,1.0014359951019287,0.0985090509057045,4.998534679412842
54,0.013500610366463661,0.013500610366463661,0.0,1.0014375448226929,0.09850730746984482,4.998532295227051
