config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250430_110934,0.5,0.1,5.0,0.369672044024948,0.09644139408038829,13.682774615221863,26.065591195010395,3.5586059196117126,173.65549230443727,0.0025794427841544926,72.430384
medium_mass,20250430_111047,5.0,0.1,5.0,0.01,0.06939928683048072,4.999999999999997,99.8,30.600713169519288,5.3290705182007514e-14,0.0014401551306229728,69.928178
heavy_mass,20250430_111157,20.0,0.1,5.0,0.010055919242920297,0.01,5.0,99.9497204037854,90.0,0.0,0.0015866644310967984,69.699882
underdamped,20250430_111306,1.0,0.05,5.0,0.38946702045958026,0.05000000000000426,4.999999999999999,61.05329795404197,8.520961713998076e-12,1.7763568394002505e-14,4.23420250463481,67.768151
critically_damped,20250430_111414,1.0,4.47,5.0,0.01,0.13767885164666588,4.999999999999585,99.0,96.91993620477257,8.29558643999917e-12,49.81280973695357,72.17263
overdamped,20250430_111526,1.0,10.0,5.0,0.01,0.3361816282351553,4.999999999997568,99.0,96.63818371764845,4.863665026277886e-11,109.54272132915182,71.799011
soft_spring,20250430_111638,1.0,0.1,1.0,0.01,0.07699708734177235,1.0000000000000004,99.0,23.002912658227654,4.440892098500626e-14,0.002120284273115316,70.040428
medium_spring,20250430_111748,1.0,0.1,10.0,0.1362984551243046,0.09365946808746767,10.0,86.37015448756954,6.340531912532338,0.0,0.0016938090367948292,71.78476
stiff_spring,20250430_111900,1.0,0.1,50.0,0.7038757548137613,0.08323464352890053,80.84337585717516,29.612424518623868,16.765356471099473,61.68675171435032,0.006245278231109701,68.485888
low_freq,20250430_112008,1.0,0.1,5.0,1.2135641616070747,0.09997228224709535,4.338612799723579,21.356416160707468,0.027717752904651838,13.227744005528413,0.0009223836257384535,69.005633
resonance_freq,20250430_112117,1.0,0.1,5.0,0.8666887854297465,0.09963536627754079,6.030802513578808,13.331121457025352,0.36463372245922054,20.616050271576167,0.0007633183981275081,66.705532
high_freq,20250430_112224,1.0,0.1,5.0,0.01,0.06682761416669304,5.000000000000001,99.0,33.17238583330696,1.7763568394002505e-14,0.005064496277977515,70.527096
small_amplitude,20250430_112335,1.0,0.1,5.0,0.03826538338226056,0.07670588074317608,4.999999999999998,96.17346166177394,23.294119256823926,3.552713678800501e-14,0.0003619441014267477,70.910151
large_amplitude,20250430_112446,1.0,0.1,5.0,0.03930425704387888,0.07636401898476067,5.000000000000002,96.06957429561211,23.635981015239338,3.552713678800501e-14,0.035339945358500935,70.694496
no_noise,20250430_112556,1.0,0.1,5.0,0.04057953991616301,0.07425592369929965,4.999999999999998,95.9420460083837,25.744076300700357,3.552713678800501e-14,0.0034458284921244004,70.709353
medium_noise,20250430_112707,1.0,0.1,5.0,0.03897082790242775,0.0774732368952335,4.999999999999998,96.10291720975722,22.526763104766506,3.552713678800501e-14,0.003444451819443191,70.771715
extreme_noise,20250430_112818,1.0,0.1,5.0,0.03826538338226065,0.07670588074317689,4.999999999999998,96.17346166177394,23.29411925682312,3.552713678800501e-14,0.0036194420299753014,71.133656
large_initial_displacement,20250430_112929,1.0,0.1,5.0,0.01,0.1178670913396176,5.0000000000000036,99.0,17.8670913396176,7.105427357601002e-14,22.010109009913386,66.982543
large_initial_velocity,20250430_113036,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,20.8044467881721,69.470347
random_high_amplitude,20250430_113145,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,11.781999777002506,69.173242
fine_time_step,20250430_113255,1.0,0.1,5.0,0.7132374439834032,0.09608409608628454,22.951069435811025,28.676255601659683,3.9159039137154625,359.0213887162205,0.0005316117543168903,69.950397
coarse_time_step,20250430_113405,1.0,0.1,5.0,0.028347968250338675,0.07777403528451685,4.999999999999998,97.16520317496614,22.22596471548316,3.552713678800501e-14,0.014587300052666466,71.011335
very_long_duration,20250430_113516,1.0,0.1,5.0,0.01,0.03471775997031303,4.999999999999998,99.0,65.28224002968696,3.552713678800501e-14,0.1554641476255402,72.132165
