epoch,total_loss,data_loss,physics_loss,mass,damping,stiffness
0,2.450390577316284,2.450390577316284,0.0,1.6938929557800293,0.4592256546020508,82.84680938720703
1,16.837730407714844,16.837730407714844,0.0,1.6946556568145752,0.4583801329135895,82.84599304199219
2,14.345786094665527,14.345786094665527,0.0,1.6955246925354004,0.45746713876724243,82.8450927734375
3,7.932013511657715,7.932013511657715,0.0,1.6964200735092163,0.4565625786781311,82.84419250488281
4,0.40858960151672363,0.40858960151672363,0.0,1.6972366571426392,0.455797404050827,82.84342193603516
5,7.538309574127197,7.538309574127197,0.0,1.6980489492416382,0.4549950361251831,82.84262084960938
6,9.703917503356934,9.703917503356934,0.0,1.6988998651504517,0.4541475176811218,82.8417739868164
7,8.73914623260498,8.73914623260498,0.0,1.6997833251953125,0.45327481627464294,82.84090423583984
8,6.058837413787842,6.058837413787842,0.0,1.7006804943084717,0.4524083137512207,82.84003448486328
9,2.4986989498138428,2.4986989498138428,0.0,1.7015575170516968,0.451595276594162,82.8392105102539
10,1.4355021715164185,1.4355021715164185,0.0,1.7023329734802246,0.45083722472190857,82.83844757080078
11,2.951519012451172,2.951519012451172,0.0,1.703065037727356,0.4501020908355713,82.83770751953125
12,2.864384651184082,2.864384651184082,0.0,1.7037733793258667,0.44938960671424866,82.83698272705078
13,1.7565593719482422,1.7565593719482422,0.0,1.704453468322754,0.4487161934375763,82.83629608154297
14,0.10957350581884384,0.10957350581884384,0.0,1.7050668001174927,0.44810670614242554,82.83566284179688
15,0.7845386266708374,0.7845386266708374,0.0,1.7056597471237183,0.44754263758659363,82.83507537841797
16,0.7347870469093323,0.7347870469093323,0.0,1.7062567472457886,0.447025865316391,82.83452606201172
17,0.46182671189308167,0.46182671189308167,0.0,1.7067577838897705,0.44655096530914307,82.83399200439453
18,0.4804178476333618,0.4804178476333618,0.0,1.7071672677993774,0.4461108148097992,82.83348083496094
19,0.3776789605617523,0.3776789605617523,0.0,1.70759117603302,0.445717453956604,82.83300018310547
20,0.22732678055763245,0.22732678055763245,0.0,1.7080057859420776,0.4453648030757904,82.8325424194336
21,0.40309274196624756,0.40309274196624756,0.0,1.7084084749221802,0.44503411650657654,82.83212280273438
22,0.43785473704338074,0.43785473704338074,0.0,1.708831787109375,0.44472765922546387,82.83172607421875
23,0.25475966930389404,0.25475966930389404,0.0,1.7091518640518188,0.44444558024406433,82.83135223388672
24,0.2826055884361267,0.2826055884361267,0.0,1.7093673944473267,0.4441864788532257,82.83099365234375
25,0.42277759313583374,0.42277759313583374,0.0,1.7096511125564575,0.4439489245414734,82.83065032958984
26,0.3559536337852478,0.3559536337852478,0.0,1.7099860906600952,0.4437306523323059,82.83032989501953
27,0.18564800918102264,0.18564800918102264,0.0,1.7102395296096802,0.44352757930755615,82.83003234863281
28,0.15614545345306396,0.15614545345306396,0.0,1.7104408740997314,0.4433383643627167,82.82975769042969
29,0.191109299659729,0.191109299659729,0.0,1.7106530666351318,0.4431607723236084,82.82950592041016
30,0.1435825228691101,0.1435825228691101,0.0,1.7108522653579712,0.4429938495159149,82.82926940917969
31,0.2947714030742645,0.2947714030742645,0.0,1.7110596895217896,0.44283977150917053,82.82904815673828
32,0.30917105078697205,0.30917105078697205,0.0,1.7112841606140137,0.4426981508731842,82.8288345336914
33,0.17131353914737701,0.17131353914737701,0.0,1.711469054222107,0.44256341457366943,82.82862854003906
34,0.14780360460281372,0.14780360460281372,0.0,1.7116212844848633,0.4424355924129486,82.82843780517578
35,0.3013175427913666,0.3013175427913666,0.0,1.7117832899093628,0.4423164427280426,82.82825469970703
36,0.24785864353179932,0.24785864353179932,0.0,1.7119358777999878,0.44220462441444397,82.82807922363281
37,0.11784423887729645,0.11784423887729645,0.0,1.7121083736419678,0.44209879636764526,82.82791900634766
38,0.12998047471046448,0.12998047471046448,0.0,1.7123125791549683,0.4419996440410614,82.82776641845703
39,0.1883615404367447,0.1883615404367447,0.0,1.7124602794647217,0.4419041574001312,82.82762145996094
