config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250430_100428,0.5,0.1,5.0,0.06001059547913154,0.09993257936385291,5.0,87.99788090417368,0.06742063614709193,0.0,0.00234090887457094,63.73894
medium_mass,20250430_100532,5.0,0.1,5.0,0.01,0.01,4.999999999999997,99.8,90.0,5.3290705182007514e-14,0.0031227647146147884,61.816129
heavy_mass,20250430_100634,20.0,0.1,5.0,0.01,0.01,5.0,99.94999999999999,90.0,0.0,0.00181683595682034,62.244843
underdamped,20250430_100736,1.0,0.05,5.0,0.01,0.08165926957196909,4.999999999999999,99.0,63.31853914393817,1.7763568394002505e-14,2.7521266504734103,65.226643
critically_damped,20250430_100841,1.0,4.47,5.0,0.01,4.164565609177949,4.999999999999585,99.0,6.832984134721502,8.29558643999917e-12,33.392656070955226,67.868593
overdamped,20250430_100949,1.0,10.0,5.0,0.01,0.054576994119440184,4.999999999997568,99.0,99.4542300588056,4.863665026277886e-11,82.86951867189978,64.478764
soft_spring,20250430_101054,1.0,0.1,1.0,0.01,0.09275482676432928,1.0000000000000004,99.0,7.245173235670727,4.440892098500626e-14,0.0015030815283807299,61.661807
medium_spring,20250430_101155,1.0,0.1,10.0,0.11013004290422895,0.09007041970980934,10.0,88.98699570957712,9.929580290190671,0.0,0.0025345231971038505,64.125226
stiff_spring,20250430_101300,1.0,0.1,50.0,0.7049762625624014,0.07881798280930453,81.30573231923829,29.502373743759858,21.182017190695472,62.611464638476576,0.005975381782185137,62.659519
low_freq,20250430_101402,1.0,0.1,5.0,1.224972578825318,0.09920474645027715,4.338968612565995,22.497257882531805,0.7952535497228602,13.220627748680105,0.0002886727400551773,64.175319
resonance_freq,20250430_101506,1.0,0.1,5.0,0.870248428514445,0.09916613605062913,6.042780538045771,12.975157148555505,0.8338639493708777,20.85561076091542,0.0004891910343325235,64.915818
high_freq,20250430_101611,1.0,0.1,5.0,0.01,0.0630335496899587,5.000000000000001,99.0,36.96645031004131,1.7763568394002505e-14,0.007072684588278778,62.120936
small_amplitude,20250430_101714,1.0,0.1,5.0,0.04520754291224703,0.0791203616738851,4.999999999999998,95.4792457087753,20.879638326114904,3.552713678800501e-14,0.00028007493682376543,62.06615
large_amplitude,20250430_101816,1.0,0.1,5.0,0.03854419286418812,0.07815117018925036,5.000000000000002,96.1455807135812,21.84882981074965,3.552713678800501e-14,0.029355128342501875,61.797386
no_noise,20250430_101917,1.0,0.1,5.0,0.04297722948536442,0.0827790088230966,4.999999999999998,95.70227705146355,17.2209911769034,3.552713678800501e-14,0.002554751756223592,61.776217
medium_noise,20250430_102019,1.0,0.1,5.0,0.04528714956030044,0.0886468629329007,4.999999999999998,95.47128504396996,11.353137067099311,3.552713678800501e-14,0.0028040233842824744,62.360967
extreme_noise,20250430_102122,1.0,0.1,5.0,0.049158657877273935,0.08305353271501945,4.999999999999998,95.0841342122726,16.94646728498056,3.552713678800501e-14,0.002893232982676142,62.261203
large_initial_displacement,20250430_102224,1.0,0.1,5.0,0.01,0.031135586849328566,5.0000000000000036,99.0,68.86441315067144,7.105427357601002e-14,15.340683236401409,63.070849
large_initial_velocity,20250430_102327,1.0,0.1,5.0,0.01,0.014881013578548256,5.000000000000269,99.0,85.11898642145174,5.382361223382759e-12,13.156744958282546,67.900033
random_high_amplitude,20250430_102435,1.0,0.1,5.0,0.01,0.2788602310350433,5.000000000000012,99.0,178.86023103504328,2.4868995751603507e-13,11.381777109184435,63.168011
fine_time_step,20250430_102538,1.0,0.1,5.0,0.038501841916949,0.078486845583209,5.000000000000002,96.1498158083051,21.51315441679101,3.552713678800501e-14,0.0005984740692787252,63.863226
coarse_time_step,20250430_102642,1.0,0.1,5.0,0.016954439479093815,0.07362165765652545,4.999999999999998,98.30455605209062,26.378342343474554,3.552713678800501e-14,0.01766558769703579,64.354257
very_long_duration,20250430_102746,1.0,0.1,5.0,0.01,0.016825033783219433,4.999999999999998,99.0,83.17496621678056,3.552713678800501e-14,0.13742097300750097,65.27505
