config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250430_175215,0.5,0.1,5.0,0.06261355622039838,0.09034098718715217,5.0,87.47728875592033,9.65901281284784,0.0,0.002890487516924596,62.539801
medium_mass,20250430_175318,5.0,0.1,5.0,0.01,0.01,4.999999999999997,99.8,90.0,5.3290705182007514e-14,0.001720480307636698,59.949897
heavy_mass,20250430_175418,20.0,0.1,5.0,0.01,0.01,5.0,99.94999999999999,90.0,0.0,0.0031919238570037377,61.130859
underdamped,20250430_175519,1.0,0.05,5.0,0.0700499937799008,0.01,4.999999999999999,92.99500062200991,80.0,1.7763568394002505e-14,0.4443895516539613,61.445354
critically_damped,20250430_175620,1.0,4.47,5.0,0.01,0.01,4.999999999999585,99.0,99.77628635346757,8.29558643999917e-12,220.10785870916033,62.36711
overdamped,20250430_175723,1.0,10.0,5.0,0.01,0.01,4.999999999997568,99.0,99.9,4.863665026277886e-11,109.5741013568584,56.198516
soft_spring,20250430_175819,1.0,0.1,1.0,0.01,0.07640122403311247,1.0000000000000004,99.0,23.59877596688753,4.440892098500626e-14,0.0034529723235574637,55.02471
medium_spring,20250430_175914,1.0,0.1,10.0,0.09322720176791623,0.07878235251850021,10.0,90.67727982320838,21.21764748149979,0.0,0.0045924443528772485,61.986815
stiff_spring,20250430_180016,1.0,0.1,50.0,0.7001957230559621,0.08629964478215743,80.58352194870112,29.980427694403787,13.700355217842574,61.16704389740224,0.00726844205290552,63.855028
low_freq,20250430_180120,1.0,0.1,5.0,1.1508750587392207,0.09360633405171018,4.235941888386201,15.087505873922069,6.393665948289828,15.281162232275989,0.0039289865628909446,61.090801
resonance_freq,20250430_180221,1.0,0.1,5.0,0.8457883791679663,0.09628296850983688,5.945980615126297,15.421162083203367,3.717031490163128,18.91961230252594,0.00255077293031037,60.701959
high_freq,20250430_180322,1.0,0.1,5.0,0.01,0.01204710318399738,5.000000000000001,99.0,87.95289681600262,1.7763568394002505e-14,0.010866682512296158,61.552558
small_amplitude,20250430_180423,1.0,0.1,5.0,0.028861246170054762,0.08763999040355552,4.999999999999998,97.11387538299452,12.360009596444483,3.552713678800501e-14,0.00039686960961578786,61.181545
large_amplitude,20250430_180524,1.0,0.1,5.0,0.025820245820760007,0.07844725682533583,5.000000000000002,97.417975417924,21.552743174664172,3.552713678800501e-14,0.04033542452284955,59.611154
no_noise,20250430_180624,1.0,0.1,5.0,0.03179365577715239,0.07846682593996922,4.999999999999998,96.82063442228475,21.533174060030788,3.552713678800501e-14,0.004057861476191902,60.673302
medium_noise,20250430_180725,1.0,0.1,5.0,0.02411251302887955,0.0814552412312162,4.999999999999998,97.58874869711205,18.544758768783808,3.552713678800501e-14,0.00427616657430892,61.187102
extreme_noise,20250430_180826,1.0,0.1,5.0,0.03666127743379213,0.08114455547421559,4.999999999999998,96.3338722566208,18.855444525784414,3.552713678800501e-14,0.004260781993794028,61.275273
large_initial_displacement,20250430_180927,1.0,0.1,5.0,0.3257133614470925,0.09999999999998987,5.0000000000000036,67.42866385529075,1.0130785099704553e-11,7.105427357601002e-14,36.56257853986158,60.382893
large_initial_velocity,20250430_181027,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,54.8134773669128,65.14338
random_high_amplitude,20250430_181133,1.0,0.1,5.0,0.01,0.01,5.000000000000012,99.0,90.0,2.4868995751603507e-13,20.312647274093194,63.67141
fine_time_step,20250430_181236,1.0,0.1,5.0,0.023796663748135036,0.0820653577216394,5.000000000000002,97.62033362518649,17.9346422783606,3.552713678800501e-14,0.0009773563833267369,60.263024
coarse_time_step,20250430_181337,1.0,0.1,5.0,0.023131091446240072,0.029362148522892217,4.999999999999998,97.68689085537599,70.63785147710779,3.552713678800501e-14,0.015575731849428374,61.566502
very_long_duration,20250430_181438,1.0,0.1,5.0,0.01,0.01,4.999999999999998,99.0,90.0,3.552713678800501e-14,0.16523133852959493,62.864816
