epoch,total_loss,data_loss,physics_loss
0,22301780864.0,22301719424.0,61541.21325683594
1,4927065984.0,4927055712.0,10289.976928710938
2,1582521068.0,1582517868.0,3217.262649536133
3,512858686.0,512857388.0,1300.076400756836
4,402031274.0,402030316.0,964.6932754516602
5,219108508.0,219108032.0,479.8591499328613
6,260644800.0,260644246.0,555.3036499023438
7,147184320.0,147184016.0,302.8537368774414
8,112887021.75,112886773.25,246.85108852386475
9,107773458.5,107773224.5,233.13382625579834
10,115563664.5,115563399.5,265.1538906097412
11,52919919.25,52919794.5,124.30383396148682
12,41876044.25,41875948.25,96.3188328742981
13,85537023.0,85536859.75,164.00322246551514
14,149288226.5,149287924.0,303.45824813842773
15,193912341.5,193911898.0,440.7930717468262
16,179367067.5625,179366720.25,349.8379077911377
17,201512707.25,201512266.25,441.22925567626953
18,77260615.0,77260420.5,194.28689193725586
19,188984792.5,188984459.0,337.0435161590576
20,140006883.0,140006452.0,430.7631721496582
21,238382704.5,238382223.5,475.4364356994629
22,129327349.5,129327011.0,338.48754692077637
23,134664188.5,134663928.5,261.80029487609863
24,56611192.75,56611034.875,158.46974658966064
25,74467281.5,74467126.5,155.54129791259766
26,51973525.375,51973428.625,96.52930808067322
27,48120326.75,48120231.125,94.86823320388794
28,70492087.5,70491929.5,157.81746578216553
29,67133180.25,67133040.0,140.13443756103516
30,38692172.5,38692086.5,86.68124294281006
31,44989290.25,44989179.125,111.58645057678223
32,88990532.75,88990361.25,172.42260837554932
33,45079186.25,45079088.75,98.13644504547119
34,34886132.125,34886060.375,72.04143857955933
35,54937529.6875,54937415.3125,113.83097100257874
36,35960306.25,35960234.625,71.57663130760193
37,98364910.5,98364743.5,168.25669479370117
38,75012683.5,75012528.0,154.63500022888184
39,60736766.125,60736636.125,130.4422731399536
40,60140783.0,60140644.5,138.25775241851807
41,70459582.5,70459418.25,162.66252326965332
42,54013842.25,54013699.75,142.89558219909668
43,102142129.0,102141922.5,206.8960418701172
44,43502984.5625,43502887.875,96.26713514328003
45,76987346.5,76987201.75,145.8981056213379
46,79988361.5,79988214.0,145.8377685546875
47,56365931.25,56365806.5,124.75820636749268
48,66447117.25,66446987.5,130.02697658538818
49,45961038.625,45960954.75,83.6715898513794
50,22790281.625,22790243.4375,38.18694603443146
51,17225210.09375,17225173.84375,35.277525901794434
52,10953570.75,10953541.8125,28.040681838989258
53,21856057.0,21856006.1875,50.532509326934814
54,12831092.875,12831068.4375,23.727977991104126
55,6019237.625,6019224.46875,12.23061329126358
56,7412271.8125,7412258.5,12.357114434242249
57,6538278.75,6538264.40625,13.363676309585571
58,14187697.6875,14187667.40625,29.76857900619507
59,36695902.125,36695839.375,62.82514488697052
60,17936488.375,17936450.5,37.64384388923645
61,18535994.84375,18535962.375,32.23041272163391
62,14454581.0,14454555.5625,24.704182624816895
63,14885960.5,14885933.375,26.606677293777466
