epoch,total_loss,data_loss,physics_loss
0,8120012128.0,8119964672.0,47510.43310546875
1,3053789536.0,3053773472.0,16051.939147949219
2,2089935616.0,2089927320.0,8316.065307617188
3,1173868392.0,1173862108.0,6261.95166015625
4,1172788630.0,1172783348.0,5275.658355712891
5,1614032504.0,1614025672.0,6834.900543212891
6,492567054.0,492564744.0,2312.8565673828125
7,1203337553.0,1203333351.0,4205.679748535156
8,574987504.0,574984794.0,2710.267288208008
9,533255606.0,533253152.0,2460.938735961914
10,599641750.0,599638918.0,2839.688949584961
11,470254524.0,470252834.0,1698.3162231445312
12,445070264.0,445068713.0,1548.7543411254883
13,246175088.0,246173832.0,1252.140724182129
14,153194563.0,153193816.0,749.1757011413574
15,138077066.5,138076560.0,508.9490203857422
16,135766576.5,135766067.0,509.6706314086914
17,41591204.5,41591004.25,200.2326374053955
18,78835477.0,78835178.5,300.4129295349121
19,115841834.0,115841353.0,482.1437187194824
20,103794719.0,103794313.0,404.7321949005127
21,157207925.25,157207351.5,572.7260684967041
22,117397784.375,117397180.875,602.3670997619629
23,149274777.5,149274146.0,630.9504699707031
24,129952427.5,129951946.25,480.6355438232422
25,71899912.25,71899666.0,247.1559362411499
26,59775569.4375,59775348.3125,221.78699111938477
27,54056078.375,54055823.25,254.54806518554688
28,42589590.0,42589428.75,160.62248134613037
29,79671695.5,79671380.0,314.59610176086426
30,48116369.5,48116204.75,164.8446216583252
31,47000328.0,47000113.75,214.24781608581543
32,79409859.25,79409495.75,362.4383735656738
33,88627493.0,88627159.5,333.7910346984863
34,68891000.75,68890746.75,253.32480430603027
35,90351233.0,90350847.0,386.7542324066162
36,98432719.5,98432327.5,393.67139053344727
37,56922893.75,56922696.5,197.43623542785645
38,42640263.75,42640132.0,132.57906007766724
39,28632763.1875,28632622.8125,140.35905647277832
40,77347389.875,77347097.875,293.1058177947998
41,76133483.0,76133173.0,310.7773780822754
42,138939452.75,138938962.0,490.8849124908447
43,80131522.0,80131242.5,278.91109466552734
44,60913558.0,60913302.75,255.74477863311768
45,133783087.0,133782613.0,475.31795501708984
46,78260286.5,78259958.0,329.2556743621826
47,58980912.0,58980672.25,239.26263904571533
48,33072000.375,33071875.375,125.66647148132324
49,26646614.875,26646499.125,116.38618421554565
50,30080930.375,30080821.25,108.85548257827759
51,44142401.75,44142238.0,163.3356056213379
52,44670299.34375,44670149.0,151.08215618133545
53,48468808.75,48468674.75,133.6429567337036
54,38721586.1875,38721453.5,132.52701616287231
55,57010598.0625,57010378.25,220.14002895355225
56,64990974.6875,64990743.0,232.23020267486572
57,29810808.125,29810697.625,110.68345308303833
58,38466005.875,38465859.625,145.84715795516968
59,70282798.0,70282557.75,240.8087863922119
60,49913240.375,49913072.6875,167.4566297531128
61,32624353.25,32624247.75,105.4536828994751
62,20549614.125,20549540.25,73.6730785369873
63,26833575.875,26833491.875,84.2373275756836
64,21665462.0,21665388.6875,73.32358360290527
65,11344023.46875,11343984.5,38.81230354309082
66,8105674.6875,8105648.1875,26.345251321792603
67,18373544.0,18373477.125,66.4959511756897
68,29029438.625,29029338.0,100.09421682357788
69,40316783.625,40316660.75,122.39841341972351
70,19823020.6875,19822947.0625,73.26528882980347
71,21246800.75,21246734.0,66.98098134994507
72,32107708.875,32107613.875,94.81000232696533
73,38633417.75,38633316.75,101.3567533493042
74,18921207.4375,18921142.0,65.13368082046509
75,19477315.75,19477248.875,66.62818908691406
76,8716332.625,8716302.625,29.777387380599976
77,13128520.0625,13128477.5625,42.24558448791504
78,10357432.0625,10357394.625,37.258734703063965
79,10420293.375,10420264.375,28.809338331222534
80,8150594.125,8150565.3125,28.61299967765808
81,9035029.53125,9035005.71875,23.544113397598267
82,3853514.3125,3853501.421875,12.487038493156433
83,5858869.296875,5858850.46875,18.49483096599579
84,5458283.015625,5458268.796875,13.864693522453308
85,4997437.9375,4997423.484375,14.048722445964813
86,4213403.21875,4213390.9375,11.99521118402481
87,4660920.453125,4660906.09375,14.002621531486511
88,5132471.21875,5132454.84375,15.975742876529694
89,3350315.109375,3350305.40625,9.527396947145462
90,2034735.3203125,2034728.453125,6.601769328117371
91,2817683.78125,2817675.53125,7.982443332672119
92,2115492.984375,2115486.03125,6.746115267276764
93,1858239.484375,1858234.734375,4.495129942893982
94,2103940.359375,2103934.375,5.709490358829498
95,2255792.765625,2255786.5625,5.877479434013367
96,1215123.28515625,1215119.7109375,3.3172637224197388
97,1577030.921875,1577026.4375,4.219469904899597
98,1294625.24609375,1294621.86328125,3.1177473217248917
99,665058.29296875,665056.0859375,1.9087922126054764
100,659827.63671875,659825.107421875,2.226282797753811
101,1706820.7421875,1706815.453125,5.010792568325996
102,3590231.890625,3590222.34375,9.255596458911896
