epoch,train_loss,val_loss
0,8.95417823791504,11.843718528747559
1,7.586368083953857,10.697750091552734
2,7.582546806335449,9.615370750427246
3,6.6832304954528805,9.299484729766846
4,6.193627262115479,8.381082534790039
5,4.688827228546143,6.568596839904785
6,4.374804210662842,4.568876266479492
7,3.507665920257568,3.00021493434906
8,2.9510610103607178,3.370611548423767
9,2.7828221797943113,3.8817028999328613
10,3.0584388732910157,4.546119928359985
11,3.2896851539611816,4.9317121505737305
12,3.2591065883636476,4.94796895980835
13,3.0591904163360595,4.910674810409546
14,3.2180898666381834,4.696393966674805
15,2.705212450027466,3.4859191179275513
16,3.081431770324707,3.0902657508850098
17,2.870308256149292,3.064192295074463
18,3.14097204208374,3.403008818626404
19,2.7549437046051026,3.8327183723449707
20,2.9156548976898193,4.502936124801636
21,2.4590485095977783,4.598643779754639
22,2.652379035949707,3.2787728309631348
23,2.754099464416504,3.279144525527954
24,2.5179553508758543,3.4084163904190063
25,2.8079004764556883,2.951200008392334
26,2.786851501464844,3.8681185245513916
27,2.749694490432739,3.5603116750717163
28,2.7380223751068113,3.7890303134918213
29,2.6371081829071046,3.194022059440613
30,2.636098098754883,3.6849061250686646
31,2.7565338134765627,2.459021210670471
32,2.7358205795288084,2.5603082180023193
33,2.623424434661865,2.9185527563095093
34,2.738942003250122,3.350144147872925
35,2.36527681350708,2.403285026550293
36,2.3030186176300047,2.4143823385238647
37,2.4151899814605713,2.7925342321395874
38,2.7011693477630616,2.7136528491973877
39,2.6345387935638427,3.0665645599365234
40,2.544285440444946,2.6015448570251465
41,2.325608420372009,2.092785060405731
42,1.9575065851211548,3.275257706642151
43,2.696691656112671,2.894262671470642
44,2.0480472564697267,2.076920449733734
45,1.9575488805770873,2.3014490604400635
46,1.9594852924346924,2.726507306098938
47,1.9614866495132446,2.2815433740615845
48,1.9682267665863038,2.310257911682129
49,1.7784818887710572,1.959742546081543
50,2.236040449142456,2.1930582523345947
51,2.284841012954712,2.399078607559204
52,1.8759358406066895,3.1947699785232544
53,2.085115337371826,2.4666829109191895
54,1.8551330804824828,2.112945079803467
55,1.7601634979248046,1.9691284894943237
