epoch,total_loss,data_loss,physics_loss
0,45921360128.0,45920177152.0,1182815.2734375
1,18564933280.0,18564450720.0,482745.787109375
2,8146184992.0,8145828832.0,356236.884765625
3,9462740624.0,9462461128.0,279539.275390625
4,4011575040.0,4011426368.0,148666.140625
5,5383432686.0,5383307602.0,125182.58935546875
6,2317730936.0,2317671712.0,59245.546630859375
7,1273813144.0,1273776408.0,36733.597900390625
8,1013492176.0,1013467436.0,24735.5458984375
9,622250156.0,622229500.0,20657.5478515625
10,623498566.0,623480510.0,18054.853088378906
11,396374812.0,396364206.0,10602.486999511719
12,137625146.0,137621059.0,4086.1592407226562
13,161250680.5,161246465.5,4215.275634765625
14,141038015.0,141034096.375,3918.6469116210938
15,124710627.5,124707767.5,2859.9485626220703
16,51575683.5,51574188.625,1495.3781051635742
17,55860800.5,55859486.0,1314.1372375488281
18,65050847.25,65048980.75,1866.757469177246
19,247847392.25,247840038.0,7355.919769287109
20,203245760.5,203239705.0,6057.6700439453125
21,279460772.5,279453012.0,7764.303466796875
22,267578157.0,267570886.0,7269.1171875
23,482037362.0,482025685.0,11663.045776367188
24,140068385.0,140064379.5,4004.9015197753906
25,77425294.75,77422740.25,2555.535140991211
26,83816906.25,83814995.25,1910.9750518798828
27,43943091.25,43941626.0,1465.5954666137695
28,50722810.0,50721372.75,1438.008316040039
29,53821186.5,53819671.25,1515.887336730957
30,39744930.375,39743679.375,1251.0268936157227
31,75047971.75,75046108.5,1861.4170837402344
32,63203496.75,63201556.25,1941.3807983398438
33,48826845.875,48825665.0,1181.6855201721191
34,45036196.5,45035124.25,1072.9852676391602
35,27013204.4375,27012580.5625,623.4264297485352
36,17324175.125,17323693.4375,481.7370910644531
37,26022878.625,26022130.75,747.7268867492676
38,40858570.0,40857314.5,1256.1821594238281
39,35260749.75,35259651.75,1098.933692932129
40,87656822.5,87654195.0,2627.270004272461
41,73474574.0,73472598.25,1976.2340927124023
42,64626493.5,64624847.5,1645.5655975341797
43,46820519.5,46819236.0,1283.8921203613281
44,59526815.75,59525466.75,1348.9196548461914
45,52321547.75,52320276.75,1271.2289276123047
46,49310762.25,49309504.25,1257.468765258789
47,48477055.25,48475858.5,1196.3054962158203
48,23282412.4375,23281716.0,696.3700942993164
49,36873763.75,36872795.25,967.674373626709
50,56053960.5,56052192.375,1768.770133972168
51,42507962.625,42506673.0,1289.5430145263672
52,43887210.5,43886015.5,1194.213451385498
53,43672747.0,43671547.25,1199.273094177246
54,52874134.5,52872818.75,1315.4547729492188
55,21509511.25,21508882.3125,628.6544647216797
56,15205366.5,15204968.25,398.2136745452881
57,13362575.4375,13362242.6875,332.5700912475586
58,13875378.625,13874996.25,382.18786239624023
59,26279912.125,26279160.5,751.7408638000488
60,20852835.375,20852228.375,606.7543754577637
61,23544172.0,23543609.0,562.8493499755859
62,18261253.875,18260847.90625,406.0705966949463
63,7988824.03125,7988661.4375,162.39792728424072
64,16383495.4375,16383092.59375,402.8629970550537
65,9780674.78125,9780459.375,215.46778869628906
66,5987740.6875,5987553.03125,187.74418354034424
67,11418692.65625,11418390.1875,302.29816818237305
68,6310536.21875,6310348.71875,187.54117679595947
69,6943832.15625,6943669.6875,162.53156566619873
70,8581117.28125,8580926.78125,190.57706451416016
71,10633408.09375,10633121.03125,287.02632904052734
72,15820465.65625,15820011.03125,454.34098052978516
73,13425340.25,13425007.25,333.1982593536377
74,7812664.125,7812455.0,209.08024215698242
75,19951414.6875,19950902.375,512.2009315490723
76,16153066.5,16152594.4375,471.96736907958984
77,4986617.0,4986493.46875,123.58464241027832
78,8080805.125,8080606.78125,198.2140998840332
79,8844246.75,8844021.1875,225.7134494781494
80,12562770.0625,12562415.75,354.62517738342285
81,14729494.625,14729139.6875,354.860782623291
82,9344313.28125,9344074.90625,238.25701522827148
83,13761814.6875,13761505.75,309.0635757446289
84,16697874.84375,16697509.96875,365.0026798248291
85,9339681.28125,9339447.9375,233.24500846862793
86,7098808.75,7098546.96875,261.7798910140991
87,6525429.0,6525245.34375,183.60673761367798
88,4843492.875,4843377.59375,115.35026597976685
89,3276017.53125,3275939.03125,78.51315927505493
90,3207622.390625,3207539.515625,82.89615607261658
91,2217238.4921875,2217187.5,50.951812982559204
92,3193882.765625,3193774.828125,107.92897510528564
93,2448319.875,2448260.03125,59.82540678977966
94,2614361.6171875,2614284.6796875,76.95626211166382
95,2717674.6484375,2717603.140625,71.57249641418457
96,3265140.34375,3265054.25,86.05720472335815
97,3673506.1171875,3673424.8515625,81.23540687561035
98,1548985.328125,1548946.046875,39.267319202423096
99,1650843.9765625,1650804.09375,39.90045642852783
100,855321.0078125,855297.328125,23.671441912651062
101,965138.78125,965116.984375,21.79834544658661
102,752047.53515625,752029.94921875,17.58150041103363
103,588641.380859375,588630.015625,11.359544038772583
104,271948.37109375,271942.3515625,5.999886065721512
105,422606.052734375,422597.505859375,8.514743149280548
106,333784.1669921875,333775.9140625,8.232422262430191
107,556053.271484375,556032.3046875,20.948216199874878
108,521343.0625,521319.39453125,23.646774768829346
109,249839.8759765625,249834.8916015625,4.962505906820297
110,314904.1513671875,314898.2158203125,5.915286719799042
111,289583.94140625,289577.67578125,6.245237112045288
112,171353.9296875,171350.23828125,3.671211898326874
113,241694.8896484375,241689.9404296875,4.924157232046127
114,119027.8583984375,119025.14453125,2.692977160215378
115,108044.939453125,108042.5205078125,2.3970464020967484
116,82487.849609375,82481.1064453125,6.721544548869133
117,53347.455322265625,53345.755615234375,1.6800992637872696
118,101436.44140625,101434.3037109375,2.117266744375229
119,66943.92553710938,66942.4345703125,1.4685431942343712
120,74341.91821289062,74340.2548828125,1.6431629732251167
121,137997.89306640625,137995.47509765625,2.3970068097114563
122,138734.12109375,138731.57592773438,2.522801488637924
123,55334.0595703125,55332.98010253906,1.0580050870776176
124,29214.816650390625,29213.686279296875,1.1106547638773918
125,18574.119201660156,18572.965576171875,1.1343586426228285
126,12654.133117675781,12653.805541992188,0.30803926661610603
127,4300.837249755859,4300.650115966797,0.1675717867910862
128,3261.0484619140625,3260.9598846435547,0.0690719741396606
129,1722.4163818359375,1720.3702392578125,2.0268117974046618
130,2075.8690071105957,2075.811393737793,0.038402952370233834
131,2833.565963745117,2833.4928588867188,0.05404948489740491
132,900.1381034851074,900.094539642334,0.02482848195359111
133,445.29228591918945,445.1592903137207,0.11453049897681922
134,440.79545402526855,440.4691619873047,0.30820025809225626
135,397.776554107666,397.747257232666,0.011602745042182505
136,407.7371587753296,407.43721103668213,0.28270046701072715
137,462.69848251342773,460.56568813323975,2.1160423975088634
138,410.67885398864746,410.6534767150879,0.009143658331595361
139,232.2248764038086,232.02329635620117,0.1858849615964573
140,128.0933861732483,128.04165124893188,0.03663240827154368
141,76.81743812561035,76.80096101760864,0.002032208925811574
142,39.344040870666504,39.11491107940674,0.21544286169228144
143,32.21380281448364,32.09503436088562,0.10592851279943716
144,24.765368938446045,23.521127700805664,1.2322993699672224
145,22.146164298057556,22.089329838752747,0.04578866492738598
146,19.91387903690338,19.888824820518494,0.014590558697818778
147,14.143249869346619,14.116734385490417,0.016284160425129812
148,16.950653910636902,16.93108570575714,0.009869762223388534
149,14.694543957710266,14.662543296813965,0.02265049365996674
150,13.328810572624207,13.264105439186096,0.0556565692750155
151,16.27393138408661,16.25409996509552,0.011100287458248204
152,13.368158221244812,13.34113597869873,0.0185804352076957
153,13.097512483596802,11.752331256866455,1.3370418905724364
154,10.338314175605774,10.326239705085754,0.004232856823364273
155,9.914335429668427,9.903001964092255,0.0038143977471918333
156,9.00636911392212,8.949379086494446,0.04981685084931087
157,9.06755942106247,9.050739049911499,0.01000609177572187
158,9.246621549129486,9.215965330600739,0.024214763294367003
159,9.048732280731201,8.578851282596588,0.46379622158565326
160,41.369661033153534,8.580706536769867,32.78322716143157
161,8.705423295497894,8.382755100727081,0.3172942418823368
162,8.957054078578949,8.867664694786072,0.08435533896044944
163,9.434562027454376,8.643297791481018,0.7865698874102236
164,8.3688805103302,8.360894799232483,0.003623709850216983
165,8.176929950714111,8.091509103775024,0.0814018834134913
166,18.700663805007935,8.13058990240097,10.566423635478714
167,27.63374924659729,7.970755040645599,19.659703707395238
168,8.144716620445251,8.13417136669159,0.007601775954753975
169,8.104722023010254,8.03005826473236,0.07208699533657636
170,8.300698518753052,7.94687432050705,0.35160527116931917
171,7.899557292461395,7.8882657289505005,0.00943289104179712
172,7.877431511878967,7.866170525550842,0.009748800177476369
173,7.9005087018013,7.885330319404602,0.014005734083184507
174,9.038816273212433,7.826448023319244,1.2115217807404406
175,7.832108974456787,7.826347172260284,0.005244534402663703
176,8.070561826229095,8.055422008037567,0.014956946903112112
177,8.047604501247406,8.045013725757599,0.002397451027718489
178,7.895320475101471,7.89242696762085,0.0026109513946721563
179,7.993905603885651,7.930204451084137,0.06349286885233596
180,8.129689812660217,7.942092061042786,0.18752932375355158
181,7.823444485664368,7.82130891084671,0.00203292865990079
