config_name,timestamp,m_true,c_true,k_true,m_est,c_est,k_est,m_error,c_error,k_error,rmse,runtime
light_mass,20250429_201712,0.5,0.1,5.0,0.05910935554880897,0.09118781566675292,5.0,88.1781288902382,8.812184333247084,0.0,0.006055597683791697,83.965181
medium_mass,20250429_201836,5.0,0.1,5.0,0.015376471414354767,0.06828872094975957,4.999999999999997,99.6924705717129,31.71127905024043,5.3290705182007514e-14,0.009969175384918524,82.657696
heavy_mass,20250429_201959,20.0,0.1,5.0,0.028825837215583287,0.07449257972939063,5.0,99.85587081392208,25.507420270609373,0.0,0.008609891829945388,82.820094
underdamped,20250429_202122,1.0,0.05,5.0,0.8248699762542469,0.061594279042468295,4.999999999999999,17.513002374575315,23.188558084936584,1.7763568394002505e-14,11.26960136288527,83.071168
critically_damped,20250429_202245,1.0,4.47,5.0,0.01,12.204529794818763,4.999999999999585,99.0,173.03198646126987,8.29558643999917e-12,85.17392803093365,88.795709
overdamped,20250429_202414,1.0,10.0,5.0,0.01,6.964801742528454,4.999999999997568,99.0,30.351982574715457,4.863665026277886e-11,567.7082808039142,87.036256
soft_spring,20250429_202541,1.0,0.1,1.0,0.01,0.08064059540560163,1.0000000000000004,99.0,19.359404594398374,4.440892098500626e-14,0.006479080144280291,82.458361
medium_spring,20250429_202703,1.0,0.1,10.0,0.1241174884418677,0.09164264563406245,10.0,87.58825115581324,8.357354365937555,0.0,0.005050266717191002,84.924421
stiff_spring,20250429_202828,1.0,0.1,50.0,0.6894161494789693,0.06517556051752098,79.53478441861532,31.058385052103066,34.82443948247902,59.069568837230634,0.009315116503969427,91.830535
low_freq,20250429_203000,1.0,0.1,5.0,1.2180393027619987,0.11168410578240932,4.3057708717092265,21.803930276199868,11.684105782409318,13.884582565815471,0.0008693773973715061,89.423655
resonance_freq,20250429_203129,1.0,0.1,5.0,0.8078809440043999,0.10439129434013392,7.1149187041044595,19.21190559956001,4.391294340133911,42.29837408208919,0.0020739383661109436,88.655769
high_freq,20250429_203258,1.0,0.1,5.0,0.01,0.06532221386021064,5.000000000000001,99.0,34.67778613978936,1.7763568394002505e-14,0.02524442836023058,88.326849
small_amplitude,20250429_203426,1.0,0.1,5.0,0.04994924628567628,0.07979091896948555,4.999999999999998,95.00507537143237,20.209081030514454,3.552713678800501e-14,0.0007168930228449974,82.228714
large_amplitude,20250429_203549,1.0,0.1,5.0,0.048953701623466,0.08259616508940215,5.000000000000002,95.10462983765339,17.403834910597855,3.552713678800501e-14,0.07558158050822092,83.02427
no_noise,20250429_203712,1.0,0.1,5.0,0.049949246285676395,0.07979091896948645,4.999999999999998,95.00507537143235,20.209081030513552,3.552713678800501e-14,0.0071689314461470715,83.301652
medium_noise,20250429_203835,1.0,0.1,5.0,0.049949246285676395,0.07979091896948645,4.999999999999998,95.00507537143235,20.209081030513552,3.552713678800501e-14,0.0071689314461470715,82.7317
extreme_noise,20250429_203958,1.0,0.1,5.0,0.05715821900917326,0.08116305866617435,4.999999999999998,94.28417809908267,18.836941333825656,3.552713678800501e-14,0.006882028977502284,83.562877
large_initial_displacement,20250429_204121,1.0,0.1,5.0,1.0000000000000004,0.09999999999998987,5.0000000000000036,4.440892098500626e-14,1.0130785099704553e-11,7.105427357601002e-14,14723.66414081472,84.19107
large_initial_velocity,20250429_204246,1.0,0.1,5.0,0.01,0.09999999999999876,5.000000000000269,99.0,1.2490009027033011e-12,5.382361223382759e-12,60.41189476963262,87.661098
random_high_amplitude,20250429_204413,1.0,0.1,5.0,0.01,0.09999999999999964,5.000000000000012,99.0,3.608224830031759e-13,2.4868995751603507e-13,15.337528716487018,83.210221
fine_time_step,20250429_204537,1.0,0.1,5.0,0.03699703931150789,0.07335528450582075,5.000000000000002,96.3002960688492,26.64471549417925,3.552713678800501e-14,0.0022724353787632943,83.548513
coarse_time_step,20250429_204700,1.0,0.1,5.0,0.031211222857305057,0.06429055638719328,4.999999999999998,96.87887771426949,35.70944361280673,3.552713678800501e-14,0.04656469019622068,83.782265
very_long_duration,20250429_204824,1.0,0.1,5.0,0.01,0.01,4.999999999999998,99.0,90.0,3.552713678800501e-14,0.1096071271933883,93.060861
