epoch,total_loss,mass,damping,stiffness
0,0.9682842493057251,1.000100016593933,0.09989999979734421,4.999899864196777
1,0.34950825572013855,1.0001887083053589,0.09980788081884384,4.999812126159668
2,0.6745408177375793,1.0002810955047607,0.09971244633197784,4.999720573425293
3,0.21893996000289917,1.0003654956817627,0.09962500631809235,4.999636650085449
4,0.013322284445166588,1.000436782836914,0.09955106675624847,4.999565601348877
5,0.16369767487049103,1.0005041360855103,0.09948055446147919,4.99949836730957
6,0.2826782763004303,1.0005723237991333,0.09940851479768753,4.999430179595947
7,0.21293149888515472,1.0006396770477295,0.09933726489543915,4.999362945556641
8,0.07951424270868301,1.0007020235061646,0.09927130490541458,4.999300956726074
9,0.013855173252522945,1.0007575750350952,0.09921254217624664,4.999245643615723
10,0.04161776974797249,1.000807762145996,0.09915889799594879,4.999195098876953
11,0.10244273394346237,1.0008549690246582,0.09910726547241211,4.999146461486816
12,0.12673988938331604,1.0009005069732666,0.09905635565519333,4.999098300933838
13,0.09872493147850037,1.000943660736084,0.0990070179104805,4.999051570892334
14,0.049831364303827286,1.0009833574295044,0.09896092861890793,4.9990081787109375
15,0.017184162512421608,1.0010191202163696,0.09891906380653381,4.998968601226807
16,0.015839578583836555,1.0010517835617065,0.0988810807466507,4.998932838439941
17,0.0360904335975647,1.0010825395584106,0.09884577244520187,4.998899459838867
18,0.05688949674367905,1.001112461090088,0.098812036216259,4.998867034912109
19,0.06239624321460724,1.001141905784607,0.09877948462963104,4.998835563659668
20,0.05077072232961655,1.0011705160140991,0.09874846786260605,4.998805522918701
21,0.03155066817998886,1.0011975765228271,0.09871961176395416,4.998777389526367
22,0.016695501282811165,1.0012224912643433,0.09869329631328583,4.998751640319824
23,0.012845257297158241,1.0012450218200684,0.0986693874001503,4.998728275299072
24,0.01882593147456646,1.001265525817871,0.09864731132984161,4.998706817626953
25,0.028169378638267517,1.0012843608856201,0.09862640500068665,4.99868631362915
26,0.03397513926029205,1.0013017654418945,0.09860624372959137,4.998666763305664
27,0.032919034361839294,1.0013179779052734,0.0985867828130722,4.998648166656494
28,0.026344671845436096,1.0013328790664673,0.09856828302145004,4.998630523681641
29,0.018479537218809128,1.0013463497161865,0.09855107218027115,4.998614311218262
30,0.013459395617246628,1.0013586282730103,0.09853535145521164,4.998599529266357
31,0.013065854087471962,1.001369833946228,0.09852109104394913,4.998586177825928
32,0.016212081536650658,1.0013803243637085,0.0985080748796463,4.9985737800598145
33,0.020086057484149933,1.0013904571533203,0.09849604964256287,4.998561859130859
34,0.02203531190752983,1.001400351524353,0.0984848290681839,4.998550891876221
35,0.021025482565164566,1.0014100074768066,0.09847438335418701,4.99854040145874
36,0.017917243763804436,1.001419186592102,0.09846475720405579,4.998530387878418
37,0.014616388827562332,1.0014276504516602,0.0984560027718544,4.998521327972412
38,0.01279968861490488,1.001435399055481,0.09844809770584106,4.998513221740723
39,0.013017461635172367,1.001442313194275,0.09844092279672623,4.998505592346191
40,0.0145945455878973,1.0014485120773315,0.09843430668115616,4.998498439788818
41,0.016230935230851173,1.0014539957046509,0.09842810034751892,4.9984917640686035
42,0.01684381254017353,1.0014588832855225,0.09842221438884735,4.998485565185547
43,0.01613994687795639,1.0014632940292358,0.09841666370630264,4.998479843139648
44,0.014642138034105301,1.001467227935791,0.09841150790452957,4.998474597930908
45,0.013247139751911163,1.001470685005188,0.09840680658817291,4.998469829559326
46,0.012645641341805458,1.0014737844467163,0.09840257465839386,4.998465538024902
47,0.012957815080881119,1.0014766454696655,0.09839877486228943,4.998461723327637
48,0.013758332468569279,1.0014793872833252,0.09839534759521484,4.998457908630371
49,0.014415702782571316,1.0014820098876953,0.09839222580194473,4.998454570770264
50,0.014499183744192123,1.0014846324920654,0.0983893871307373,4.998451232910156
51,0.014001252129673958,1.001487135887146,0.09838681668043137,4.998448371887207
52,0.013270312920212746,1.001489520072937,0.09838452190160751,4.998445510864258
53,0.012740004807710648,1.001491665840149,0.09838248044252396,4.998443126678467
54,0.012651779688894749,1.0014935731887817,0.09838064759969711,4.998440742492676
55,0.012940173968672752,1.0014952421188354,0.0983789712190628,4.998438358306885
56,0.013324174098670483,1.0014967918395996,0.09837739914655685,4.998436450958252
57,0.013515877537429333,1.0014981031417847,0.09837590157985687,4.998434543609619
58,0.01339954137802124,1.0014992952346802,0.09837448596954346,4.998432636260986
59,0.013074676506221294,1.0015003681182861,0.0983731746673584,4.998431205749512
60,0.012757550925016403,1.001501202583313,0.09837199747562408,4.998429775238037
61,0.012625014409422874,1.0015020370483398,0.09837095439434052,4.9984283447265625
62,0.01270831935107708,1.0015027523040771,0.09837004542350769,4.998426914215088
63,0.012896887958049774,1.0015034675598145,0.09836925566196442,4.9984259605407715
64,0.013032829388976097,1.0015041828155518,0.0983685702085495,4.998425006866455
65,0.013021176680922508,1.001504898071289,0.09836798161268234,4.998424053192139
66,0.012881463393568993,1.0015056133270264,0.09836748242378235,4.998423099517822
67,0.012715667486190796,1.0015062093734741,0.09836706519126892,4.998422145843506
68,0.012626757845282555,1.0015068054199219,0.09836672246456146,4.9984211921691895
